epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.3588,1.4036,3.17627,1.47342,0.42002,0.34868,0.33649,0.15223,1.76766,2.14041,1.71537,0.00023654,0.00023654,0.00023654
2,45.0934,1.33094,1.94468,1.43531,0.51332,0.42863,0.44023,0.19228,2.00335,1.92165,1.98932,0.000469842,0.000469842,0.000469842
3,65.0684,1.27381,1.70507,1.4101,0.64852,0.45033,0.49797,0.23806,1.80995,1.73326,1.82691,0.000698432,0.000698432,0.000698432
4,85.0111,1.25162,1.61408,1.39352,0.58452,0.49241,0.50269,0.23696,1.83597,1.73965,1.78112,0.000692794,0.000692794,0.000692794
5,104.786,1.21836,1.5145,1.3642,0.73116,0.49433,0.57581,0.28178,1.79958,1.46432,1.75222,0.000685726,0.000685726,0.000685726
6,124.884,1.20171,1.46852,1.35068,0.72184,0.49875,0.56507,0.28559,1.67635,1.45501,1.66393,0.000678657,0.000678657,0.000678657
7,144.265,1.17956,1.39216,1.33121,0.68745,0.54679,0.57474,0.26421,1.88561,1.47273,1.82688,0.000671588,0.000671588,0.000671588
8,163.364,1.15143,1.34165,1.31892,0.7025,0.53554,0.57972,0.28255,1.7611,1.46932,1.71897,0.00066452,0.00066452,0.00066452
9,181.892,1.14884,1.30862,1.30597,0.75623,0.5604,0.6219,0.31105,1.74532,1.39196,1.69984,0.000657451,0.000657451,0.000657451
10,200.234,1.13424,1.2749,1.30101,0.67805,0.54113,0.56941,0.2878,1.72027,1.52602,1.71293,0.000650383,0.000650383,0.000650383
11,218.581,1.11773,1.26176,1.29338,0.72178,0.55025,0.59286,0.28307,1.76226,1.42692,1.75009,0.000643314,0.000643314,0.000643314
12,236.982,1.1091,1.22187,1.27913,0.74138,0.55913,0.62155,0.30165,1.73105,1.34363,1.67812,0.000636245,0.000636245,0.000636245
13,255.297,1.10283,1.18291,1.27474,0.7309,0.58283,0.63021,0.32853,1.65811,1.26267,1.64602,0.000629177,0.000629177,0.000629177
14,273.859,1.10262,1.1814,1.26844,0.71477,0.57082,0.61865,0.30824,1.68483,1.29877,1.6883,0.000622108,0.000622108,0.000622108
15,293.605,1.07614,1.13779,1.25798,0.78402,0.62277,0.67583,0.34647,1.63906,1.18646,1.63495,0.00061504,0.00061504,0.00061504
16,313.154,1.071,1.12873,1.2501,0.75834,0.59813,0.6437,0.31842,1.78459,1.27828,1.76391,0.000607971,0.000607971,0.000607971
17,332.451,1.07274,1.11388,1.24782,0.76767,0.58256,0.63435,0.33437,1.59875,1.23199,1.61737,0.000600902,0.000600902,0.000600902
18,352.319,1.05956,1.0992,1.2458,0.78226,0.59948,0.66445,0.3528,1.61156,1.1497,1.60539,0.000593834,0.000593834,0.000593834
19,371.129,1.06043,1.07896,1.23703,0.7989,0.58548,0.66561,0.36381,1.58752,1.20705,1.59836,0.000586765,0.000586765,0.000586765
20,389.55,1.03949,1.05973,1.23118,0.79168,0.60637,0.67675,0.35835,1.58977,1.12961,1.58924,0.000579697,0.000579697,0.000579697
21,408.662,1.03525,1.04967,1.22396,0.82239,0.61274,0.68428,0.39552,1.47523,1.06338,1.50627,0.000572628,0.000572628,0.000572628
22,428.022,1.02895,1.03585,1.22094,0.76221,0.63959,0.67693,0.37305,1.55866,1.08913,1.55184,0.000565559,0.000565559,0.000565559
23,447.448,1.03098,1.0125,1.219,0.79944,0.62827,0.68899,0.38035,1.51375,1.11125,1.52248,0.000558491,0.000558491,0.000558491
24,467.031,1.01065,1.00925,1.2117,0.84494,0.59198,0.69589,0.38675,1.5185,1.05074,1.54315,0.000551422,0.000551422,0.000551422
25,486.713,1.00658,0.99331,1.20297,0.82475,0.60866,0.69947,0.40201,1.49019,1.06067,1.52621,0.000544354,0.000544354,0.000544354
26,506.399,0.99808,0.97541,1.20023,0.81054,0.60385,0.68742,0.39173,1.53113,1.09134,1.53157,0.000537285,0.000537285,0.000537285
27,526.062,1.00372,0.97015,1.20146,0.82708,0.63175,0.71558,0.39298,1.53281,1.0278,1.5534,0.000530216,0.000530216,0.000530216
28,545.617,1.00322,0.96425,1.19644,0.85195,0.62315,0.70489,0.40035,1.48202,1.02359,1.50815,0.000523148,0.000523148,0.000523148
29,565.245,1.00218,0.95649,1.19677,0.78123,0.6354,0.7153,0.37366,1.67164,1.05364,1.60733,0.000516079,0.000516079,0.000516079
30,584.961,0.99145,0.94439,1.18972,0.797,0.6625,0.71625,0.37113,1.65202,1.06202,1.641,0.000509011,0.000509011,0.000509011
31,604.888,0.97544,0.93543,1.18789,0.79284,0.66145,0.72154,0.39974,1.52174,1.01837,1.53015,0.000501942,0.000501942,0.000501942
32,624.34,0.97604,0.91737,1.18206,0.86338,0.62804,0.72871,0.4131,1.47231,0.99335,1.49982,0.000494873,0.000494873,0.000494873
33,644.248,0.96736,0.90617,1.17416,0.81871,0.6537,0.72571,0.41978,1.43574,0.98545,1.46571,0.000487805,0.000487805,0.000487805
