                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3136,                 2.0508,                 1.4442,                0.56385,                0.53481,                0.53712,                0.25489,                 1.7526,                 1.6031,                 1.7354,             0.00023654,             0.00023654,             0.00023654
                      2,                 1.2337,                 1.4365,                 1.3654,                0.64798,                0.46903,                 0.5211,                0.23825,                 1.8518,                 1.6997,                 1.8126,             0.00046984,             0.00046984,             0.00046984
                      3,                 1.2188,                 1.4014,                 1.3627,                 0.5731,                0.52097,                0.51204,                0.23705,                 1.8246,                 1.6449,                 1.8396,             0.00069843,             0.00069843,             0.00069843
                      4,                 1.2072,                 1.3652,                  1.354,                0.70566,                0.52997,                0.59733,                0.27856,                 1.9359,                 1.4716,                 1.8202,             0.00069279,             0.00069279,             0.00069279
                      5,                 1.1837,                 1.2762,                 1.3328,                0.66252,                0.50602,                0.54662,                0.26214,                 1.8416,                 1.5844,                 1.7852,             0.00068573,             0.00068573,             0.00068573
                      6,                 1.1641,                 1.2465,                 1.3193,                0.67607,                0.51988,                0.57924,                0.30184,                 1.7148,                 1.3822,                  1.712,             0.00067866,             0.00067866,             0.00067866
                      7,                 1.1335,                 1.1949,                 1.2995,                0.73925,                0.55376,                0.61378,                0.30228,                 1.7969,                 1.3754,                 1.7569,             0.00067159,             0.00067159,             0.00067159
                      8,                 1.1046,                 1.1492,                 1.2839,                0.77783,                0.60528,                0.65377,                0.35482,                 1.6005,                 1.1979,                 1.6225,             0.00066452,             0.00066452,             0.00066452
                      9,                 1.0942,                 1.0994,                 1.2695,                0.77472,                0.60034,                0.65007,                0.35107,                 1.6329,                 1.1995,                 1.6401,             0.00065745,             0.00065745,             0.00065745
                     10,                 1.0851,                 1.0745,                 1.2614,                0.79841,                0.59604,                0.65528,                0.35053,                 1.6204,                 1.2103,                 1.6484,             0.00065038,             0.00065038,             0.00065038
                     11,                 1.0677,                 1.0605,                 1.2534,                0.75127,                0.58434,                0.63843,                0.31197,                 1.7648,                   1.27,                 1.7369,             0.00064331,             0.00064331,             0.00064331
                     12,                 1.0434,                 1.0171,                 1.2328,                0.81453,                0.58544,                0.68082,                0.36165,                 1.6091,                 1.1516,                 1.5924,             0.00063625,             0.00063625,             0.00063625
                     13,                  1.039,                0.98305,                 1.2293,                0.79358,                0.60392,                 0.6812,                0.35872,                 1.5892,                 1.1176,                 1.6214,             0.00062918,             0.00062918,             0.00062918
                     14,                  1.035,                0.98855,                 1.2229,                0.81961,                0.62495,                0.69671,                0.36657,                 1.5624,                 1.0726,                  1.597,             0.00062211,             0.00062211,             0.00062211
                     15,                 1.0094,                0.94809,                 1.2098,                0.77259,                0.63255,                0.69653,                0.36303,                 1.6436,                 1.0919,                  1.624,             0.00061504,             0.00061504,             0.00061504
                     16,                 1.0058,                0.94121,                 1.2032,                0.82075,                0.64554,                0.72757,                0.41592,                  1.464,                 1.0029,                 1.4875,             0.00060797,             0.00060797,             0.00060797
                     17,                0.99906,                0.91525,                 1.1989,                0.82803,                0.64051,                0.71004,                0.37214,                 1.5944,                 1.0537,                 1.5947,              0.0006009,              0.0006009,              0.0006009
                     18,                0.98459,                0.90329,                 1.1936,                0.78183,                0.61568,                0.70189,                0.38396,                 1.5485,                 1.0615,                 1.5507,             0.00059383,             0.00059383,             0.00059383
                     19,                0.97449,                0.87705,                 1.1802,                0.80239,                0.65161,                0.71484,                0.39851,                 1.4894,                 1.0135,                 1.5156,             0.00058677,             0.00058677,             0.00058677
                     20,                 0.9606,                 0.8663,                 1.1762,                0.82093,                0.64983,                0.71386,                0.39877,                 1.4679,                 1.0287,                 1.4999,              0.0005797,              0.0005797,              0.0005797
                     21,                0.95071,                0.84627,                 1.1689,                0.85458,                0.67225,                0.75703,                0.42588,                 1.4489,                0.90323,                 1.5067,             0.00057263,             0.00057263,             0.00057263
                     22,                0.94563,                0.83247,                 1.1615,                0.85804,                0.67509,                0.74562,                0.42054,                 1.5009,                 0.9448,                 1.5303,             0.00056556,             0.00056556,             0.00056556
                     23,                0.94507,                0.82048,                 1.1617,                0.87066,                0.66301,                 0.7444,                0.44226,                 1.3666,                0.89979,                 1.3916,             0.00055849,             0.00055849,             0.00055849
                     24,                 0.9212,                0.80714,                 1.1531,                0.84838,                0.67851,                0.74967,                0.43756,                 1.3888,                0.89599,                 1.4192,             0.00055142,             0.00055142,             0.00055142
                     25,                0.91686,                0.79725,                 1.1463,                0.82311,                0.70086,                0.75534,                0.44699,                 1.3861,                0.88156,                 1.4407,             0.00054435,             0.00054435,             0.00054435
                     26,                0.90601,                 0.7845,                 1.1412,                0.82114,                0.70568,                0.75471,                0.44124,                 1.4036,                 0.9047,                 1.4396,             0.00053728,             0.00053728,             0.00053728
                     27,                0.90994,                0.77758,                 1.1393,                0.83271,                0.71233,                0.77281,                 0.4605,                 1.3911,                0.87507,                 1.4212,             0.00053022,             0.00053022,             0.00053022
                     28,                0.90451,                 0.7699,                  1.133,                0.86759,                0.68789,                 0.7697,                0.44988,                 1.3762,                0.88368,                 1.4444,             0.00052315,             0.00052315,             0.00052315
                     29,                 0.8979,                0.76206,                 1.1298,                0.84733,                0.69521,                0.76295,                0.46749,                 1.3455,                0.84568,                 1.3788,             0.00051608,             0.00051608,             0.00051608
                     30,                0.88597,                 0.7454,                 1.1248,                0.88351,                0.68444,                0.77992,                0.46183,                  1.376,                0.82529,                 1.4298,             0.00050901,             0.00050901,             0.00050901
                     31,                0.87145,                0.73228,                 1.1189,                0.85449,                0.69765,                 0.7791,                0.48379,                 1.2871,                 0.8289,                  1.372,             0.00050194,             0.00050194,             0.00050194
                     32,                0.87309,                0.72623,                 1.1138,                0.83498,                0.70181,                0.77406,                0.47062,                 1.3345,                0.83517,                 1.3873,             0.00049487,             0.00049487,             0.00049487
                     33,                 0.8627,                0.71166,                 1.1089,                0.84234,                0.71658,                0.78218,                0.48454,                  1.289,                0.81273,                  1.347,              0.0004878,              0.0004878,              0.0004878
                     34,                0.84863,                0.69693,                 1.1016,                0.89491,                0.68636,                 0.7986,                0.48555,                 1.2983,                0.79747,                 1.3626,             0.00048074,             0.00048074,             0.00048074
                     35,                0.85345,                0.70129,                 1.1034,                0.87965,                0.69953,                0.78987,                0.49798,                 1.2508,                0.78382,                 1.3391,             0.00047367,             0.00047367,             0.00047367
                     36,                0.84985,                0.69745,                 1.0983,                0.83336,                0.72173,                0.78119,                0.46768,                 1.3241,                0.84286,                 1.3773,              0.0004666,              0.0004666,              0.0004666
                     37,                0.83146,                0.68241,                 1.0914,                0.90844,                0.70225,                0.79611,                0.49101,                 1.2814,                0.77163,                 1.3449,             0.00045953,             0.00045953,             0.00045953
                     38,                0.83656,                 0.6822,                 1.0895,                  0.893,                0.73804,                0.80894,                 0.5006,                 1.3138,                0.75541,                 1.3761,             0.00045246,             0.00045246,             0.00045246
                     39,                0.81818,                0.66961,                 1.0831,                0.87869,                 0.7201,                0.80611,                0.49718,                 1.2912,                0.77831,                 1.3576,             0.00044539,             0.00044539,             0.00044539
                     40,                 0.8297,                 0.6727,                 1.0895,                0.90682,                0.71834,                0.80938,                0.51347,                 1.2525,                0.74928,                 1.3589,             0.00043832,             0.00043832,             0.00043832
                     41,                0.82016,                0.66024,                  1.084,                0.87759,                0.73769,                0.81146,                0.49294,                 1.3293,                0.78765,                 1.3829,             0.00043126,             0.00043126,             0.00043126
                     42,                0.82498,                 0.6571,                 1.0821,                0.90448,                 0.7187,                0.81847,                0.49812,                 1.3078,                0.76536,                 1.3803,             0.00042419,             0.00042419,             0.00042419
                     43,                0.81556,                0.65187,                 1.0765,                0.90109,                0.70653,                0.80637,                0.49163,                 1.3052,                0.78308,                 1.3794,             0.00041712,             0.00041712,             0.00041712
                     44,                0.80744,                0.64988,                 1.0706,                0.88247,                0.72529,                0.80669,                0.50327,                 1.2966,                0.76354,                 1.3736,             0.00041005,             0.00041005,             0.00041005
                     45,                0.78216,                0.63479,                 1.0647,                0.88127,                0.74856,                0.81512,                0.49792,                 1.3243,                0.75749,                 1.3799,             0.00040298,             0.00040298,             0.00040298
                     46,                0.79356,                0.63022,                 1.0657,                0.86757,                0.72685,                0.80509,                0.51084,                 1.2571,                0.76267,                 1.3331,             0.00039591,             0.00039591,             0.00039591
                     47,                0.78709,                0.62051,                 1.0609,                 0.9003,                0.73797,                0.82046,                0.52497,                 1.2581,                0.71613,                 1.3565,             0.00038884,             0.00038884,             0.00038884
                     48,                0.78088,                0.61363,                 1.0553,                0.89431,                 0.7453,                0.81126,                0.52202,                 1.2319,                0.72619,                 1.3031,             0.00038178,             0.00038178,             0.00038178
                     49,                0.77002,                 0.6135,                 1.0552,                0.88192,                0.73237,                0.82899,                0.52894,                 1.2111,                0.72421,                 1.3006,             0.00037471,             0.00037471,             0.00037471
                     50,                0.77099,                0.61401,                 1.0545,                 0.8805,                0.72378,                0.80606,                0.51869,                 1.2446,                0.74809,                 1.3234,             0.00036764,             0.00036764,             0.00036764
                     51,                0.77608,                0.60728,                 1.0536,                0.86392,                0.75339,                0.82072,                0.52096,                 1.2165,                0.74002,                 1.3181,             0.00036057,             0.00036057,             0.00036057
                     52,                0.76299,                0.59823,                 1.0476,                0.89977,                0.73383,                0.82144,                0.53919,                 1.1877,                0.69241,                 1.2788,              0.0003535,              0.0003535,              0.0003535
                     53,                0.75361,                0.58996,                 1.0456,                  0.916,                 0.7341,                0.82531,                0.52653,                 1.2473,                0.70109,                 1.3359,             0.00034643,             0.00034643,             0.00034643
                     54,                0.75509,                0.59381,                 1.0468,                0.92618,                0.72358,                  0.834,                0.55164,                 1.1741,                0.68489,                 1.2703,             0.00033936,             0.00033936,             0.00033936
                     55,                0.75163,                 0.5894,                 1.0451,                0.92147,                0.74051,                0.83046,                0.54505,                 1.1714,                0.66325,                 1.2745,              0.0003323,              0.0003323,              0.0003323
                     56,                0.73969,                0.58046,                 1.0407,                0.89319,                0.78222,                0.84545,                0.53313,                 1.2462,                0.64956,                 1.3306,             0.00032523,             0.00032523,             0.00032523
                     57,                0.73956,                0.57294,                 1.0379,                0.88497,                0.76983,                0.82798,                0.53083,                 1.2203,                0.69841,                 1.3194,             0.00031816,             0.00031816,             0.00031816
                     58,                0.73772,                 0.5743,                 1.0364,                 0.8765,                0.76731,                0.83592,                0.52859,                 1.2361,                0.68906,                 1.3244,             0.00031109,             0.00031109,             0.00031109
                     59,                0.72315,                0.55688,                 1.0266,                0.87564,                0.74733,                0.81214,                0.53265,                 1.2019,                0.71924,                 1.3031,             0.00030402,             0.00030402,             0.00030402
                     60,                0.72579,                0.56158,                 1.0275,                0.89474,                 0.7576,                 0.8215,                0.53833,                 1.2045,                0.69158,                 1.3074,             0.00029695,             0.00029695,             0.00029695
                     61,                0.71585,                0.55026,                 1.0294,                0.90113,                0.73946,                0.82954,                0.54439,                 1.1522,                0.67815,                 1.2706,             0.00028988,             0.00028988,             0.00028988
                     62,                0.71617,                  0.554,                  1.026,                0.92433,                0.74156,                0.83062,                 0.5563,                  1.145,                0.65341,                 1.2522,             0.00028282,             0.00028282,             0.00028282
                     63,                0.71763,                0.55164,                 1.0226,                0.91118,                 0.7568,                0.83806,                0.55501,                 1.1543,                0.65003,                 1.2647,             0.00027575,             0.00027575,             0.00027575
                     64,                0.71429,                0.54859,                 1.0211,                0.90489,                0.76161,                 0.8303,                0.56237,                 1.1529,                0.64155,                 1.2595,             0.00026868,             0.00026868,             0.00026868
                     65,                0.70221,                0.53798,                 1.0183,                0.90235,                0.74514,                0.82437,                0.55661,                  1.159,                0.64861,                 1.2671,             0.00026161,             0.00026161,             0.00026161
                     66,                0.70732,                0.54388,                 1.0201,                 0.8698,                0.76888,                0.83092,                0.55503,                 1.1593,                0.64854,                 1.2789,             0.00025454,             0.00025454,             0.00025454
                     67,                0.69701,                0.53489,                 1.0171,                0.89913,                0.77507,                0.83005,                 0.5518,                 1.1577,                0.63604,                   1.29,             0.00024747,             0.00024747,             0.00024747
                     68,                0.69512,                 0.5245,                 1.0088,                0.91417,                0.76616,                0.83473,                 0.5555,                 1.1821,                0.63941,                 1.2804,              0.0002404,              0.0002404,              0.0002404
                     69,                 0.6972,                0.53055,                 1.0137,                0.92796,                0.75213,                0.83103,                0.53819,                 1.2457,                0.66514,                 1.3338,             0.00023334,             0.00023334,             0.00023334
                     70,                0.68893,                0.52573,                 1.0114,                 0.8965,                 0.7688,                0.83721,                0.56574,                 1.1344,                0.64003,                 1.2612,             0.00022627,             0.00022627,             0.00022627
                     71,                0.68014,                0.51543,                 1.0038,                0.89879,                0.77393,                0.83872,                0.56208,                 1.1509,                0.62132,                 1.2722,              0.0002192,              0.0002192,              0.0002192
                     72,                0.67632,                0.51457,                 1.0057,                0.89701,                0.75702,                0.83183,                0.56201,                 1.1361,                0.64938,                 1.2538,             0.00021213,             0.00021213,             0.00021213
                     73,                0.67886,                0.51256,                 1.0063,                0.91755,                0.76352,                0.83381,                0.55186,                 1.1931,                0.64739,                 1.2903,             0.00020506,             0.00020506,             0.00020506
                     74,                0.67285,                0.50977,                 1.0021,                0.90765,                0.77098,                0.83754,                0.55948,                 1.1525,                0.63392,                 1.2676,             0.00019799,             0.00019799,             0.00019799
                     75,                0.66785,                0.50074,                0.99726,                0.89534,                0.75165,                0.82783,                0.56227,                 1.1417,                0.65087,                 1.2543,             0.00019092,             0.00019092,             0.00019092
                     76,                0.66416,                0.50247,                0.99802,                0.93282,                0.74788,                0.84174,                0.56187,                 1.1314,                0.63411,                   1.26,             0.00018385,             0.00018385,             0.00018385
                     77,                0.65356,                0.49471,                 0.9942,                0.91278,                0.75767,                0.84397,                0.57113,                 1.1234,                0.62335,                 1.2438,             0.00017679,             0.00017679,             0.00017679
                     78,                0.65501,                0.49072,                0.99093,                0.90572,                0.75501,                0.83597,                0.56614,                 1.1379,                 0.6314,                 1.2566,             0.00016972,             0.00016972,             0.00016972
                     79,                0.65698,                0.49225,                0.99271,                0.95164,                0.76052,                0.84571,                0.57097,                 1.1352,                0.62653,                 1.2437,             0.00016265,             0.00016265,             0.00016265
                     80,                0.65471,                0.48938,                0.99242,                0.91839,                0.78057,                0.85378,                0.57913,                 1.1174,                0.60647,                 1.2558,             0.00015558,             0.00015558,             0.00015558
                     81,                0.64284,                0.48485,                0.98672,                0.93036,                 0.7696,                  0.851,                0.56808,                 1.1548,                 0.6147,                 1.2806,             0.00014851,             0.00014851,             0.00014851
                     82,                 0.6458,                0.48346,                0.98297,                0.88481,                0.78188,                0.84723,                0.57125,                  1.136,                0.61387,                 1.2681,             0.00014144,             0.00014144,             0.00014144
                     83,                 0.6398,                0.47832,                 0.9821,                0.88569,                0.78663,                0.84485,                0.57526,                 1.1203,                0.62388,                 1.2509,             0.00013437,             0.00013437,             0.00013437
                     84,                 0.6386,                0.47776,                0.98499,                0.88995,                0.79212,                0.84527,                0.57443,                 1.1165,                0.60634,                 1.2533,             0.00012731,             0.00012731,             0.00012731
                     85,                0.63244,                0.47047,                 0.9772,                0.88711,                0.78959,                0.84686,                0.57897,                 1.1161,                0.60528,                 1.2464,             0.00012024,             0.00012024,             0.00012024
                     86,                0.62967,                0.46761,                0.97549,                0.92072,                0.77923,                0.85129,                0.57513,                 1.1518,                 0.6193,                 1.2733,             0.00011317,             0.00011317,             0.00011317
                     87,                0.63109,                0.47035,                0.97327,                0.94384,                0.76271,                0.85615,                0.58131,                 1.1074,                0.58737,                 1.2464,              0.0001061,              0.0001061,              0.0001061
                     88,                0.62644,                0.46776,                0.97953,                0.92993,                0.77091,                0.85749,                0.58374,                 1.0985,                0.58904,                 1.2377,             9.9032e-05,             9.9032e-05,             9.9032e-05
                     89,                0.62032,                0.46083,                0.97281,                0.94462,                0.76446,                0.85664,                0.58492,                 1.1038,                0.58583,                 1.2567,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     90,                0.61504,                0.45499,                0.97286,                0.88637,                0.79139,                0.85554,                0.59042,                 1.0874,                0.58413,                 1.2374,             8.4895e-05,             8.4895e-05,             8.4895e-05
                     91,                0.60854,                0.39547,                0.96003,                0.93219,                0.76204,                0.84405,                0.57061,                 1.1384,                0.61453,                 1.2811,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     92,                0.59731,                0.38355,                0.95323,                0.90001,                0.77919,                0.84738,                0.58021,                 1.1029,                0.59856,                 1.2488,             7.0757e-05,             7.0757e-05,             7.0757e-05
                     93,                 0.5859,                0.37817,                0.94699,                0.91598,                 0.7749,                0.84873,                0.57919,                 1.1055,                0.60173,                 1.2599,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     94,                0.58451,                0.37641,                 0.9459,                0.87556,                0.81096,                0.85358,                0.57461,                 1.1134,                0.59606,                 1.2607,              5.662e-05,              5.662e-05,              5.662e-05
                     95,                0.58054,                0.36999,                0.94471,                 0.9097,                0.78741,                 0.8516,                0.57173,                 1.1099,                0.59968,                 1.2694,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     96,                0.57743,                0.36845,                0.94408,                0.91231,                0.78178,                0.85095,                0.58254,                  1.106,                0.59566,                 1.2575,             4.2483e-05,             4.2483e-05,             4.2483e-05
                     97,                0.56498,                0.36182,                0.94068,                0.91787,                0.78101,                0.85327,                0.58507,                 1.1019,                0.58365,                  1.252,             3.5414e-05,             3.5414e-05,             3.5414e-05
                     98,                0.55922,                0.35981,                0.93786,                0.91317,                0.78771,                 0.8542,                0.58341,                 1.0915,                0.58253,                 1.2478,             2.8346e-05,             2.8346e-05,             2.8346e-05
                     99,                0.56124,                0.35857,                0.93698,                0.91105,                0.78602,                0.85099,                0.58236,                 1.0925,                 0.5832,                 1.2466,             2.1277e-05,             2.1277e-05,             2.1277e-05
                    100,                0.55742,                 0.3572,                0.93115,                0.92075,                0.78084,                0.85252,                0.58318,                 1.1028,                0.58398,                 1.2575,             1.4209e-05,             1.4209e-05,             1.4209e-05
